accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp
0.049,0.472,0.800,29.756,-2.809,9.573,29.469
0.062,0.477,0.786,29.282,-6.290,9.710,29.477
0.084,0.489,0.784,28.366,-6.565,8.626,29.414
0.092,0.497,0.780,26.458,-4.824,7.344,29.461
0.097,0.497,0.778,23.603,-3.191,6.046,29.414
0.100,0.493,0.783,19.893,-1.389,4.763,29.469
0.104,0.493,0.794,14.595,-1.908,2.916,29.477
0.112,0.478,0.830,7.939,-1.420,1.496,29.477
0.106,0.464,0.879,2.626,1.908,1.466,29.438
0.098,0.472,0.919,0.977,3.573,-0.061,29.445
0.096,0.468,0.948,1.145,5.435,-3.695,29.398
0.084,0.463,0.959,1.282,8.794,-6.305,29.484
0.063,0.454,0.958,0.000,12.916,-7.191,29.406
0.036,0.451,0.943,-0.641,14.489,-7.649,29.422
0.014,0.439,0.917,1.603,13.557,-7.679,29.484
-0.005,0.435,0.882,5.084,11.374,-6.733,29.445
-0.019,0.436,0.847,7.267,7.817,-5.130,29.469
-0.024,0.429,0.831,8.489,2.611,-2.779,29.477
-0.015,0.427,0.816,8.748,0.397,0.931,29.453
-0.021,0.442,0.803,3.466,0.809,4.763,29.445
-0.006,0.442,0.776,-13.328,-0.565,8.962,29.445
0.032,0.484,0.767,-27.328,4.550,12.031,29.469
0.010,0.474,0.785,-31.511,7.588,10.031,29.453
-0.008,0.443,0.822,-24.168,4.702,7.359,29.453
0.009,0.446,0.843,-19.618,2.458,5.344,29.469
0.035,0.457,0.877,-18.229,7.496,4.290,29.445
0.043,0.463,0.898,-16.015,11.878,2.397,29.414
0.046,0.465,0.914,-11.084,11.420,-1.359,29.453
0.041,0.466,0.922,-4.107,8.840,-4.336,29.438
0.033,0.473,0.923,2.718,3.542,-7.267,29.438
0.030,0.465,0.916,8.336,-2.015,-9.344,29.484
0.037,0.462,0.907,10.992,-4.382,-9.924,29.469
0.046,0.452,0.882,7.603,-2.672,-9.191,29.484
0.034,0.438,0.880,2.260,4.107,-7.725,29.477
0.003,0.421,0.873,-2.473,10.626,-4.885,29.445
-0.034,0.422,0.867,-10.153,13.725,0.275,29.484
-0.054,0.438,0.884,-14.779,13.679,5.328,29.438
-0.051,0.451,0.897,-12.931,11.634,8.321,29.477
-0.031,0.475,0.907,-12.122,7.282,8.107,29.469
-0.012,0.475,0.923,-12.855,3.618,6.595,29.430
-0.005,0.455,0.934,-10.153,4.336,6.855,29.461
-0.008,0.459,0.935,-6.229,2.962,8.107,29.445
0.002,0.471,0.931,-3.603,-0.931,8.290,29.500
0.023,0.473,0.943,-0.824,-3.542,8.305,29.492
0.047,0.489,0.953,1.664,-1.893,7.817,29.492
0.069,0.506,0.964,-1.618,4.504,5.145,29.430
0.044,0.475,0.978,-6.473,13.282,2.824,29.453
0.016,0.467,0.971,-8.229,19.969,3.924,29.484
0.008,0.481,0.965,-9.725,22.748,4.489,29.438
0.003,0.473,0.964,-11.344,23.573,3.466,29.508
-0.001,0.473,0.974,-13.206,25.511,2.672,29.492
-0.024,0.471,0.982,-12.275,26.534,3.084,29.461
-0.020,0.480,0.977,-9.832,24.534,3.634,29.500
0.016,0.490,0.985,-6.565,23.313,2.626,29.508
0.031,0.481,0.975,-2.840,27.802,0.840,29.484
0.026,0.472,0.953,-0.885,30.779,-0.931,29.508
0.011,0.465,0.923,-0.229,31.542,-1.160,29.500
-0.009,0.463,0.902,0.702,29.511,-0.107,29.523
-0.016,0.460,0.883,1.084,25.038,1.573,29.484
-0.035,0.462,0.873,1.053,21.115,3.130,29.500
-0.052,0.470,0.861,-0.290,10.198,2.626,29.477
-0.026,0.463,0.868,-1.237,2.122,0.122,29.516
-0.010,0.455,0.870,-0.672,2.473,-2.351,29.531
-0.016,0.457,0.859,-0.748,4.458,-3.817,29.539
-0.013,0.473,0.859,-1.863,0.718,-6.397,29.500
0.065,0.484,0.881,-0.336,-1.099,-14.244,29.516
0.091,0.493,0.911,4.137,3.221,-26.626,29.445
0.056,0.530,0.938,11.649,6.183,-42.153,29.508
-0.004,0.585,0.875,17.298,-1.069,-62.137,29.516
-0.298,0.568,0.788,13.664,-30.794,-69.069,29.516
-0.141,0.498,0.880,15.939,-79.191,-75.145,29.469
0.044,0.459,0.973,22.672,-75.740,-79.359,29.516
0.125,0.323,0.959,30.214,-32.076,-80.519,29.500
0.089,0.197,0.952,64.855,2.885,-92.718,29.508
-0.228,0.218,0.960,116.550,53.008,-62.015,29.477
-0.838,0.632,0.794,152.458,1.206,26.595,29.500
-0.455,0.597,1.061,148.458,-72.137,75.389,29.508
-0.495,0.593,1.128,154.168,-94.031,50.458,29.531
-0.421,0.589,0.976,147.847,-79.237,21.634,29.508
-0.012,0.494,0.658,161.756,-61.969,-1.969,29.531
0.336,0.440,0.429,196.565,-92.397,-15.298,29.500
0.414,0.654,0.525,176.550,-136.214,-8.824,29.531
0.373,0.768,0.657,127.405,-123.405,-6.550,29.508
0.190,0.768,0.780,89.252,-108.931,-17.023,29.516
0.113,0.681,0.811,69.939,-81.573,-24.000,29.492
0.100,0.677,0.699,55.328,-70.244,-21.634,29.539
-0.002,0.706,0.759,63.160,-75.634,-10.382,29.492
-0.065,0.718,0.750,88.580,-101.374,-4.336,29.547
-0.093,0.715,0.647,119.389,-152.198,-18.153,29.516
-0.046,0.876,0.584,130.718,-242.595,-62.672,29.523
-0.049,0.693,0.522,-45.282,-250.122,-177.939,29.500
0.328,0.880,0.740,-157.695,-250.122,-250.122,29.508
0.474,1.083,1.028,-168.519,-250.122,-250.122,29.547
0.674,0.897,0.908,-147.038,-250.122,-250.122,29.531
0.562,1.098,0.797,-135.985,-230.076,-250.122,29.539
0.654,0.294,0.541,-126.962,-26.840,-250.122,29.523
0.419,0.456,0.378,-102.840,160.351,-250.122,29.562
0.314,0.581,0.382,-115.710,243.725,-250.122,29.547
0.069,0.591,0.519,-132.962,231.756,-250.122,29.578
-0.098,0.474,0.512,-109.450,214.763,-250.122,29.484
-0.171,0.352,0.568,-22.718,198.321,-209.893,29.539
-0.425,0.257,0.522,69.206,142.443,-154.198,29.523
-0.313,0.273,0.676,139.542,63.298,-137.298,29.516
-0.329,0.326,0.755,189.817,14.840,-150.962,29.523
-0.334,0.397,0.688,205.405,-23.237,-168.137,29.555
-0.613,0.370,0.605,199.817,-63.099,-171.847,29.531
-0.087,0.455,1.281,105.069,-7.481,-179.176,29.578
-0.383,0.652,0.652,-104.687,45.756,-250.122,29.547
-0.610,0.541,0.588,-129.389,-134.290,-250.122,29.570
-0.396,0.658,0.499,-152.901,-222.015,-250.122,29.516
-0.241,0.648,0.455,-154.183,-195.359,-236.626,29.570
-0.176,0.598,0.459,-145.328,-134.550,-218.229,29.531
-0.292,0.431,0.495,-140.565,-76.443,-206.870,29.547
-0.221,0.438,0.696,-148.092,-10.351,-219.053,29.539
-0.295,0.378,0.717,-172.198,28.489,-248.107,29.531
-0.091,0.488,0.186,-250.122,-250.122,-250.122,29.539
0.177,0.227,0.374,-250.122,-250.122,-250.122,29.586
0.401,-0.329,1.574,-250.122,-250.122,-250.122,29.586
-0.712,-0.927,2.383,-220.046,250.130,-250.122,29.609
-0.780,-0.355,0.861,-70.870,250.130,-54.412,29.562
-0.458,-0.240,0.660,-172.229,250.130,-50.443,29.586
-0.418,-0.306,1.086,-235.542,250.130,-213.313,29.578
-1.063,-0.610,1.084,-213.160,250.130,-250.122,29.570
-1.947,-0.507,1.344,25.099,250.130,-250.122,29.562
-1.376,-0.336,0.446,67.435,23.145,-223.267,29.625
-1.283,-0.343,0.708,47.435,-14.947,-193.313,29.570
-1.502,-0.392,0.697,50.443,-127.084,-161.740,29.602
-1.246,-0.348,0.489,30.885,-250.122,-170.244,29.547
-1.060,-0.235,0.534,-2.031,-250.122,-178.580,29.617
-0.835,-0.214,0.594,-22.794,-250.122,-176.214,29.578
-0.602,-0.298,0.607,-42.550,-250.122,-185.359,29.578
-0.375,-0.371,0.808,-54.336,-250.122,-189.985,29.609
0.482,-0.584,1.529,-27.038,-250.122,-200.107,29.578
0.949,-0.509,1.048,-6.733,-250.122,-211.924,29.578
1.118,-0.260,0.692,-24.534,-206.947,-184.229,29.594
0.544,-0.362,0.896,-37.389,73.282,-179.176,29.625
-0.113,-0.499,1.069,-20.840,147.359,-165.145,29.570
-0.574,-0.479,0.954,3.344,132.229,-134.656,29.586
-0.282,-0.419,0.783,15.466,89.557,-115.481,29.539
-0.020,-0.438,0.804,8.718,28.168,-113.725,29.516
0.050,-0.511,0.947,8.550,20.107,-114.916,29.570
0.131,-0.544,0.975,12.641,24.260,-114.015,29.508
0.101,-0.534,0.947,11.573,5.527,-120.595,29.594
0.109,-0.436,0.892,8.489,-14.443,-137.328,29.578
0.073,-0.460,0.893,0.931,-9.756,-136.168,29.594
-0.093,-0.432,0.918,-6.962,-10.809,-135.573,29.570
-0.181,-0.473,0.879,-10.260,-10.550,-117.740,29.531
-0.059,-0.497,0.863,-12.015,-20.061,-104.595,29.562
0.013,-0.524,0.904,-9.695,-17.557,-95.221,29.602
0.062,-0.557,0.887,-7.557,-2.626,-86.260,29.578
0.077,-0.572,0.926,-10.855,-0.305,-81.695,29.555
0.119,-0.544,0.976,-6.809,27.710,-73.725,29.547
0.095,-0.481,0.994,0.992,69.313,-65.695,29.531
0.034,-0.411,0.980,3.298,96.076,-54.382,29.555
0.037,-0.310,0.949,-10.275,82.794,-52.412,29.539
0.079,-0.265,0.968,-27.740,61.176,-55.450,29.547
0.164,-0.269,0.943,-34.870,42.840,-71.084,29.539
0.121,-0.313,0.946,-31.084,27.450,-91.084,29.508
0.053,-0.356,0.931,-22.061,20.107,-98.779,29.477
0.035,-0.366,0.872,-13.573,22.046,-100.641,29.578
-0.003,-0.397,0.832,-10.168,25.557,-94.947,29.555
-0.014,-0.422,0.830,-12.244,37.481,-85.130,29.547
0.072,-0.458,0.821,-17.573,65.344,-70.947,29.531
0.064,-0.490,0.850,-17.527,87.466,-63.084,29.547
-0.004,-0.503,0.869,-10.198,100.137,-55.939,29.586
-0.068,-0.486,0.867,1.115,103.695,-44.321,29.523
-0.172,-0.447,0.875,11.115,71.084,-33.313,29.578
-0.157,-0.316,0.852,11.450,5.282,-30.779,29.453
-0.010,-0.261,0.818,1.786,-48.534,-32.641,29.516
