accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,tmp
-0.013,-0.366,0.962,0.109,0.907,-0.130,28.120
-0.008,-0.367,0.961,-0.186,-0.148,-0.082,28.118
-0.004,-0.368,0.959,-0.273,-0.931,0.064,28.127
-0.001,-0.369,0.957,-0.052,-1.336,0.002,28.123
0.002,-0.366,0.956,0.167,-1.639,-0.197,28.131
0.005,-0.363,0.958,0.316,-1.722,-0.167,28.139
0.007,-0.362,0.963,0.447,-1.826,-0.083,28.140
0.009,-0.360,0.966,0.190,-2.320,-0.104,28.132
0.011,-0.360,0.966,-0.395,-2.278,0.067,28.132
0.013,-0.360,0.966,-0.968,-1.277,0.420,28.142
0.011,-0.360,0.962,-1.543,-0.691,0.716,28.138
0.010,-0.361,0.957,-1.692,-0.858,0.869,28.133
0.008,-0.361,0.951,-1.479,-0.865,1.018,28.135
0.006,-0.361,0.947,-1.140,-0.545,1.313,28.142
0.004,-0.361,0.946,-0.580,-0.619,1.447,28.142
0.002,-0.360,0.945,0.057,-1.071,1.513,28.136
0.000,-0.359,0.946,0.974,-1.651,1.570,28.131
-0.001,-0.356,0.945,1.719,-2.165,1.593,28.126
0.000,-0.355,0.945,2.190,-2.254,1.771,28.120
0.001,-0.353,0.945,2.292,-1.774,2.077,28.119
0.000,-0.352,0.947,2.135,-1.052,2.439,28.138
-0.001,-0.351,0.945,1.895,-0.392,2.787,28.145
-0.003,-0.352,0.945,1.906,0.049,2.865,28.132
-0.004,-0.351,0.945,2.258,-0.009,2.783,28.130
-0.004,-0.349,0.946,2.399,-0.384,2.831,28.119
-0.004,-0.350,0.949,2.590,-0.441,3.318,28.117
-0.005,-0.351,0.951,2.465,-0.617,3.695,28.117
-0.009,-0.354,0.954,2.192,-0.860,3.737,28.127
-0.011,-0.356,0.956,1.877,-0.832,3.253,28.128
-0.015,-0.356,0.959,1.767,-0.391,2.985,28.141
-0.016,-0.358,0.961,1.592,-0.217,2.747,28.145
-0.017,-0.361,0.962,1.339,-0.457,1.953,28.146
-0.017,-0.361,0.963,1.088,-0.369,1.049,28.144
-0.016,-0.360,0.963,0.564,0.208,0.485,28.145
-0.015,-0.360,0.962,-0.035,0.679,0.280,28.144
-0.012,-0.359,0.960,-0.496,0.845,0.267,28.149
-0.010,-0.359,0.957,-0.856,1.023,0.380,28.139
-0.008,-0.359,0.953,-1.119,1.214,0.583,28.138
-0.007,-0.358,0.952,-1.168,1.094,0.769,28.144
-0.006,-0.357,0.951,-1.128,0.698,0.848,28.153
-0.007,-0.356,0.950,-0.956,0.249,0.662,28.154
-0.007,-0.355,0.950,-0.805,-0.008,0.428,28.153
-0.006,-0.354,0.953,-0.810,0.112,0.363,28.148
-0.005,-0.354,0.956,-0.867,0.348,0.394,28.146
-0.003,-0.354,0.958,-0.929,0.486,0.365,28.145
-0.002,-0.352,0.958,-1.082,0.418,0.415,28.140
-0.000,-0.352,0.958,-1.315,0.386,0.654,28.132
0.001,-0.351,0.957,-1.498,0.320,0.999,28.130
0.002,-0.350,0.953,-1.574,0.156,1.436,28.135
0.002,-0.350,0.950,-1.329,-0.116,1.947,28.148
0.002,-0.349,0.946,-0.829,-0.499,2.388,28.146
0.003,-0.348,0.942,-0.397,-0.619,2.928,28.151
0.004,-0.347,0.941,0.080,-0.239,3.532,28.148
0.005,-0.348,0.944,0.396,0.420,4.153,28.152
0.006,-0.348,0.948,0.740,0.876,4.878,28.151
0.007,-0.346,0.949,1.208,0.653,5.762,28.139
0.009,-0.345,0.949,1.692,0.185,6.955,28.137
