picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 115200
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
sensorTask started...
ICM-42670P initialized successfully!
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,tmp
0.154,-0.380,0.935,1.024,0.391,-0.771,30.814
0.154,-0.379,0.934,0.947,0.354,-0.597,30.825
0.153,-0.379,0.934,0.768,0.361,-0.421,30.826
0.152,-0.380,0.933,0.648,0.431,-0.327,30.821
0.151,-0.380,0.934,0.604,0.373,-0.272,30.832
0.151,-0.380,0.935,0.545,0.238,-0.162,30.835
0.151,-0.381,0.936,0.512,-0.028,-0.110,30.831
0.151,-0.380,0.937,0.533,-0.330,-0.064,30.833
0.152,-0.379,0.936,0.442,-0.522,0.124,30.830
0.153,-0.379,0.935,0.217,-0.384,0.463,30.831
0.152,-0.379,0.933,0.002,0.033,0.825,30.844
0.149,-0.380,0.932,-0.193,0.368,1.126,30.834
0.146,-0.382,0.932,-0.252,0.524,1.249,30.835
0.143,-0.383,0.932,-0.067,0.328,1.025,30.827
0.141,-0.383,0.931,0.152,-0.113,0.677,30.835
0.141,-0.384,0.931,0.255,-0.501,0.443,30.831
0.141,-0.384,0.930,0.249,-0.593,0.187,30.831
0.142,-0.385,0.930,0.202,-0.407,-0.070,30.830
0.143,-0.384,0.929,0.213,-0.389,-0.361,30.835
0.144,-0.384,0.928,0.186,-0.582,-0.611,30.830
0.146,-0.383,0.928,0.182,-0.558,-0.660,30.835
0.147,-0.383,0.929,0.197,-0.381,-0.472,30.843
0.147,-0.384,0.930,0.163,-0.072,-0.186,30.847
0.147,-0.385,0.931,0.199,0.339,-0.071,30.854
0.146,-0.385,0.933,0.286,0.449,-0.179,30.840
0.147,-0.384,0.933,0.188,0.463,-0.138,30.839
0.148,-0.385,0.932,-0.031,0.630,0.114,30.830
0.148,-0.385,0.931,-0.294,0.976,0.425,30.830
0.146,-0.386,0.932,-0.610,1.308,0.781,30.825
0.144,-0.388,0.933,-0.866,1.500,1.002,30.824
0.142,-0.389,0.934,-0.890,1.381,0.904,30.835
0.141,-0.389,0.935,-0.839,1.013,0.678,30.833
0.142,-0.389,0.937,-0.801,0.699,0.474,30.838
0.143,-0.389,0.938,-0.742,0.669,0.325,30.845
0.143,-0.389,0.940,-0.618,0.689,0.091,30.845
0.142,-0.388,0.942,-0.570,0.547,-0.226,30.833
0.143,-0.386,0.941,-0.710,0.307,-0.497,30.839
0.144,-0.385,0.939,-0.929,0.104,-0.705,30.839
0.146,-0.383,0.937,-1.224,0.132,-0.788,30.844
0.149,-0.382,0.935,-1.529,0.385,-0.755,30.834
0.150,-0.381,0.933,-1.677,0.560,-0.654,30.834
0.150,-0.379,0.931,-1.666,0.416,-0.495,30.827
0.150,-0.379,0.928,-1.517,0.075,-0.314,30.829
0.150,-0.378,0.926,-1.328,-0.199,-0.182,30.823
0.150,-0.377,0.923,-1.233,-0.298,-0.018,30.822
0.150,-0.378,0.923,-1.093,-0.189,0.139,30.826
0.149,-0.378,0.924,-0.839,-0.131,0.135,30.830
0.148,-0.378,0.924,-0.652,-0.197,0.120,30.834
0.148,-0.378,0.925,-0.474,-0.373,0.086,30.832
0.149,-0.379,0.926,-0.245,-0.463,0.038,30.833
0.150,-0.379,0.928,-0.080,-0.317,0.185,30.842
0.152,-0.381,0.931,0.012,-0.009,0.433,30.854
0.151,-0.381,0.932,0.089,0.165,0.615,30.844
0.151,-0.381,0.933,0.094,0.143,0.778,30.842
0.151,-0.383,0.933,0.051,0.035,0.915,30.838
0.150,-0.383,0.933,0.031,-0.039,0.973,30.846
0.149,-0.384,0.933,-0.034,-0.212,0.974,30.851
0.148,-0.386,0.934,-0.079,-0.403,0.879,30.851
0.146,-0.386,0.934,-0.101,-0.509,0.801,30.843
0.146,-0.387,0.932,-0.274,-0.511,0.688,30.840
0.146,-0.387,0.933,-0.462,-0.330,0.455,30.845
0.147,-0.386,0.932,-0.487,-0.137,0.299,30.854
0.148,-0.386,0.932,-0.469,-0.019,0.144,30.855
0.149,-0.384,0.932,-0.397,-0.064,-0.090,30.851
0.152,-0.381,0.931,-0.233,-0.288,-0.155,30.853
0.156,-0.380,0.932,-0.049,-0.407,0.208,30.860
0.157,-0.380,0.931,0.169,-0.473,0.164,30.860
0.158,-0.378,0.931,0.192,-0.584,0.111,30.858
0.158,-0.377,0.932,0.133,-0.457,0.377,30.849
0.156,-0.377,0.933,0.015,-0.121,0.657,30.851
0.154,-0.378,0.933,-0.187,0.008,0.798,30.847
0.151,-0.378,0.934,-0.369,-0.032,0.870,30.852
0.149,-0.380,0.934,-0.407,-0.226,0.862,30.842
0.146,-0.381,0.932,-0.355,-0.551,0.784,30.843
0.145,-0.381,0.932,-0.338,-0.704,0.706,30.855
0.145,-0.382,0.932,-0.410,-0.524,0.682,30.862
0.145,-0.383,0.932,-0.514,-0.122,0.687,30.873
0.146,-0.383,0.933,-0.641,0.252,0.649,30.869
0.146,-0.383,0.933,-0.729,0.479,0.674,30.879
0.145,-0.384,0.934,-0.753,0.619,0.807,30.872
0.142,-0.385,0.934,-0.691,0.552,0.830,30.867
0.139,-0.386,0.934,-0.617,0.158,0.707,30.861
0.137,-0.387,0.934,-0.512,-0.217,0.454,30.853
0.137,-0.388,0.932,-0.495,-0.369,0.222,30.854
0.138,-0.388,0.931,-0.570,-0.334,-0.024,30.867
0.139,-0.387,0.930,-0.653,-0.174,-0.217,30.871
0.141,-0.386,0.928,-0.806,0.083,-0.254,30.874
0.142,-0.386,0.926,-0.879,0.303,-0.206,30.874
0.143,-0.385,0.926,-0.808,0.475,-0.158,30.875
0.144,-0.384,0.927,-0.702,0.536,-0.119,30.875
0.144,-0.384,0.927,-0.584,0.631,-0.196,30.886
0.145,-0.383,0.927,-0.380,0.679,-0.380,30.884
0.146,-0.381,0.927,-0.171,0.758,-0.533,30.878
0.148,-0.380,0.929,-0.025,0.969,-0.533,30.877
0.149,-0.379,0.931,0.058,1.265,-0.461,30.878
0.149,-0.379,0.935,-0.018,1.388,-0.392,30.879
0.149,-0.378,0.937,-0.265,1.434,-0.286,30.876
0.151,-0.379,0.937,-0.619,1.533,-0.230,30.870
0.152,-0.379,0.935,-0.972,1.612,-0.119,30.862
0.152,-0.380,0.932,-1.286,1.659,0.117,30.867
0.150,-0.381,0.928,-1.434,1.653,0.317,30.879
0.148,-0.382,0.926,-1.362,1.450,0.409,30.880
0.146,-0.384,0.925,-1.029,1.091,0.399,30.865
0.145,-0.385,0.923,-0.615,0.654,0.314,30.869
0.145,-0.387,0.923,-0.240,0.410,0.201,30.863
0.146,-0.388,0.925,0.148,0.403,0.040,30.870
0.148,-0.389,0.927,0.436,0.493,-0.073,30.881
0.149,-0.391,0.930,0.682,0.713,-0.200,30.881
0.150,-0.391,0.933,0.897,0.737,-0.390,30.880
0.151,-0.391,0.934,0.909,0.828,-0.392,30.875
0.152,-0.391,0.936,0.739,1.243,-0.252,30.879
0.151,-0.391,0.938,0.455,1.577,-0.136,30.876
0.149,-0.391,0.941,0.009,1.706,-0.071,30.887
0.147,-0.391,0.943,-0.463,1.554,-0.099,30.878
0.145,-0.391,0.944,-0.919,1.208,-0.261,30.878
0.144,-0.390,0.944,-1.350,0.848,-0.452,30.875
0.144,-0.389,0.945,-1.734,0.613,-0.591,30.879
0.144,-0.388,0.947,-2.140,0.586,-0.638,30.880
0.144,-0.386,0.948,-2.613,0.817,-0.711,30.883
0.143,-0.384,0.948,-3.108,1.205,-0.816,30.885
