picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 115200
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
sensorTask started...
ICM-42670P initialized successfully!
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,tmp
0.258,0.621,-0.631,-60.079,65.918,-1.010,28.206
0.226,0.598,-0.614,-69.953,103.114,-6.006,28.206
0.182,0.589,-0.619,-79.510,139.868,-2.962,28.209
0.154,0.602,-0.642,-89.980,167.433,5.759,28.202
0.153,0.610,-0.680,-101.004,188.107,15.617,28.204
0.157,0.639,-0.723,-112.417,203.613,24.503,28.213
0.181,0.682,-0.763,-123.912,215.242,33.835,28.209
0.218,0.720,-0.768,-134.514,209.901,46.594,28.213
0.297,0.728,-0.715,-143.015,196.067,60.755,28.203
0.397,0.717,-0.620,-145.620,191.669,68.635,28.219
0.451,0.720,-0.520,-142.204,196.633,68.163,28.207
0.476,0.715,-0.434,-134.153,209.803,61.473,28.216
0.477,0.694,-0.376,-124.741,219.885,55.823,28.211
0.455,0.677,-0.340,-115.670,227.446,54.382,28.211
0.431,0.680,-0.343,-109.779,233.117,59.600,28.222
0.461,0.709,-0.374,-111.613,237.370,69.830,28.225
0.533,0.760,-0.396,-124.007,240.560,79.052,28.236
0.634,0.797,-0.395,-143.632,242.952,86.006,28.222
0.704,0.816,-0.370,-165.098,244.747,87.707,28.209
0.723,0.807,-0.318,-183.484,246.093,84.425,28.210
0.708,0.765,-0.239,-195.235,247.102,78.258,28.212
0.658,0.703,-0.134,-199.640,247.859,72.212,28.210
0.605,0.657,-0.013,-198.581,248.427,70.007,28.216
0.669,0.601,0.100,-196.127,248.852,73.829,28.207
0.891,0.594,0.315,-189.072,249.172,69.780,28.206
0.790,0.631,0.367,-178.365,249.411,45.927,28.205
0.684,0.579,0.400,-170.453,249.591,37.071,28.209
0.648,0.559,0.441,-158.435,244.754,33.685,28.213
0.637,0.569,0.473,-146.304,236.550,32.703,28.211
0.651,0.591,0.484,-135.174,228.703,28.809,28.218
0.668,0.609,0.485,-126.484,219.340,19.775,28.221
0.571,0.534,0.564,-117.103,191.284,6.576,28.226
0.537,0.449,0.712,-92.534,129.570,-8.061,28.232
0.532,0.509,0.709,-74.686,99.616,-17.809,28.227
0.542,0.518,0.711,-71.835,91.884,-27.513,28.229
0.565,0.510,0.708,-76.224,95.203,-39.959,28.230
0.577,0.499,0.713,-83.244,107.215,-54.061,28.225
0.574,0.493,0.723,-90.361,126.587,-69.328,28.220
0.549,0.495,0.737,-96.725,149.463,-84.256,28.216
0.528,0.529,0.764,-94.994,165.254,-99.547,28.214
0.477,0.543,0.788,-87.295,171.872,-104.549,28.227
0.415,0.556,0.797,-80.490,166.984,-96.626,28.227
0.374,0.560,0.808,-73.314,153.261,-85.916,28.233
0.344,0.545,0.809,-63.490,135.075,-79.185,28.231
0.303,0.520,0.801,-53.003,119.081,-76.851,28.236
0.259,0.510,0.805,-48.408,109.964,-73.401,28.234
0.236,0.498,0.830,-54.421,112.561,-68.860,28.222
0.224,0.479,0.849,-64.258,125.772,-65.538,28.213
0.202,0.474,0.869,-73.213,146.245,-63.951,28.221
0.182,0.476,0.877,-81.616,160.714,-66.101,28.224
0.145,0.476,0.876,-87.143,170.226,-68.534,28.227
0.087,0.483,0.887,-84.716,167.994,-65.847,28.234
0.036,0.479,0.888,-78.499,159.091,-58.423,28.227
-0.002,0.461,0.878,-72.386,146.814,-48.630,28.234
-0.034,0.427,0.855,-66.171,140.405,-38.183,28.230
-0.050,0.395,0.851,-58.281,141.590,-28.771,28.230
-0.049,0.376,0.846,-49.428,142.803,-22.105,28.225
-0.047,0.360,0.843,-41.285,142.026,-18.529,28.231
-0.050,0.350,0.844,-36.513,138.355,-16.523,28.238
-0.054,0.340,0.847,-36.293,132.850,-14.506,28.223
-0.058,0.336,0.859,-39.617,125.897,-12.617,28.222
-0.069,0.336,0.865,-44.049,115.747,-9.829,28.212
-0.071,0.330,0.869,-48.124,101.246,-6.704,28.225
-0.060,0.355,0.893,-55.620,84.129,-3.413,28.222
-0.079,0.348,0.930,-72.986,66.940,1.982,28.211
-0.067,0.350,0.934,-87.022,60.957,-8.006,28.207
-0.092,0.349,0.929,-97.564,58.985,-20.833,28.212
-0.123,0.328,0.937,-100.356,56.327,-32.964,28.214
-0.162,0.294,0.946,-95.866,51.016,-45.215,28.221
-0.197,0.257,0.951,-84.171,46.178,-56.137,28.220
-0.226,0.234,0.946,-68.911,41.500,-64.561,28.218
-0.252,0.232,0.939,-55.675,36.606,-68.959,28.214
-0.282,0.241,0.918,-48.474,33.202,-67.181,28.213
-0.310,0.241,0.889,-49.428,29.432,-60.088,28.213
-0.316,0.234,0.875,-55.678,23.429,-50.990,28.214
-0.296,0.234,0.854,-65.751,14.622,-43.357,28.200
-0.258,0.235,0.845,-79.809,6.378,-38.811,28.205
-0.208,0.231,0.854,-96.033,2.929,-38.475,28.206
-0.172,0.220,0.856,-112.341,6.208,-42.371,28.203
-0.153,0.204,0.845,-128.298,11.488,-49.183,28.221
-0.140,0.189,0.829,-143.449,19.761,-56.983,28.218
-0.147,0.171,0.816,-158.209,33.683,-64.462,28.220
-0.160,0.139,0.805,-172.821,45.453,-70.396,28.228
